ts_ms,volume,energy_ratio,rel_dist_mm,delta_mm,phase_vel_mm_per_frame,power_thr,avg_power,min_power,max_power,power_pass,freq_used_1st,freq_used_2nd
1773844583101,2,1.628541,105.616173,0.005589,0.002504,15000.0,1033939.313,112571.617,1953685.375,10,10,8
1773844583122,2,1.628541,0.000000,0.005056,0.003297,15000.0,1034849.125,112409.617,1965484.375,10,10,7
1773844583145,2,1.628541,0.000000,0.001917,0.003358,15000.0,1033861.938,112729.523,1981970.375,10,10,7
1773844583167,2,1.628541,0.000000,0.000370,0.003329,15000.0,1032239.375,113720.047,1991930.250,10,10,8
1773844583188,2,1.680120,0.000000,0.000800,0.002746,15000.0,1029377.438,115125.242,1995572.875,10,10,8
1773844583210,2,1.680120,0.000000,0.001346,0.001898,15000.0,1027120.313,115075.094,1996637.625,10,10,8
1773844583230,2,1.680120,0.000000,0.001190,0.001125,15000.0,1025089.000,115160.953,1990373.375,10,10,8
1773844583253,2,1.680120,0.000000,0.006057,0.001953,15000.0,1028417.000,116130.227,1999742.250,10,10,8
1773844583276,2,1.727477,0.000000,0.001950,0.002269,15000.0,1033945.063,116269.750,1989870.125,10,10,7
1773844583296,2,1.727477,0.000000,0.002475,0.002604,15000.0,1036853.750,116317.211,1993579.750,10,10,9
1773844583316,2,1.727477,0.000000,0.001246,0.002583,15000.0,1039438.250,115753.531,1993923.750,10,10,6
1773844583317,2,1.727477,0.000000,0.002992,0.002944,15000.0,1037649.188,115276.133,1994636.375,10,10,6
1773844583338,2,1.727477,0.000000,0.003479,0.002428,15000.0,1039545.063,114640.031,1995628.250,10,10,8
1773844583359,2,1.757247,0.000000,0.002657,0.002570,15000.0,1042932.750,114629.789,1999299.750,10,10,7
1773844583379,2,1.757247,0.000000,0.002539,0.002583,15000.0,1044409.000,115114.867,1999162.375,10,10,6
1773844583405,2,1.757247,0.000000,0.002073,0.002748,15000.0,1051080.750,115358.797,2012013.125,10,10,6
1773844583421,2,1.757247,0.000000,0.002076,0.002565,15000.0,1058035.375,116384.766,2020379.625,10,10,6
1773844583444,2,1.761983,0.000000,-0.000189,0.001831,15000.0,1066949.625,117633.281,2029955.750,10,10,5
1773844583465,2,1.761983,0.000000,-0.002218,0.000856,15000.0,1077053.625,119130.297,2034874.000,10,10,7
1773844583487,2,1.761983,0.000000,-0.001727,0.000003,15000.0,1089285.250,120763.227,2040088.750,10,10,8
1773844583509,2,1.761983,0.000000,-0.003307,-0.001073,15000.0,1101975.000,122579.086,2040606.250,10,10,7
1773844583530,2,1.712749,0.000000,-0.002294,-0.001947,15000.0,1114536.625,123688.484,2045085.875,10,10,9
1773844583551,2,1.712749,0.000000,-0.002867,-0.002483,15000.0,1126502.000,124358.977,2042875.500,10,10,9
1773844583573,2,1.712749,0.000000,-0.004472,-0.002933,15000.0,1138839.500,125141.000,2044225.125,10,10,9
1773844583594,2,1.712749,0.000000,-0.004534,-0.003495,15000.0,1148146.125,125119.664,2040268.125,10,10,9
1773844583615,2,1.636397,0.000000,-0.002987,-0.003431,15000.0,1155929.500,124906.883,2042474.875,10,10,9
1773844583636,2,1.636397,0.000000,-0.000654,-0.003103,15000.0,1162018.000,125212.945,2038154.000,10,10,8
1773844583637,2,1.636397,0.000000,-0.002472,-0.003024,15000.0,1166319.250,125399.922,2041232.250,10,10,7
1773844583659,2,1.636397,0.000000,-0.001703,-0.002470,15000.0,1169709.250,125272.703,2044260.750,10,10,7
1773844583680,2,1.636397,0.000000,-0.003652,-0.002294,15000.0,1173644.625,125529.898,2045030.375,10,10,7
1773844583698,2,1.563264,0.000000,-0.004606,-0.002617,15000.0,1175004.750,126034.805,2040904.500,10,10,9
1773844583720,2,1.563264,0.000000,-0.003229,-0.003133,15000.0,1178342.875,125674.883,2040529.500,10,10,6
1773844583742,2,1.563264,0.000000,-0.001196,-0.002877,15000.0,1178588.875,125689.797,2040025.500,10,10,7
1773844583762,2,1.563264,0.000000,0.001499,-0.002237,15000.0,1180379.250,125935.531,2042101.750,10,10,5
1773844583784,2,1.492890,0.000000,0.004899,-0.000527,15000.0,1184312.375,125855.258,2048553.875,10,10,7
1773844583806,2,1.492890,0.000000,0.004208,0.001236,15000.0,1185635.500,126281.727,2054696.250,10,10,8
1773844583826,2,1.492890,0.000000,0.003470,0.002576,15000.0,1186883.375,126913.477,2058743.625,10,10,8
1773844583852,2,1.492890,0.000000,-0.001623,0.002491,15000.0,1187630.625,126972.000,2058033.500,10,10,7
1773844583875,2,1.442707,0.000000,-0.005958,0.000999,15000.0,1188781.000,127007.961,2061096.750,10,10,8
1773844583896,2,1.442707,0.000000,-0.003512,-0.000683,15000.0,1191108.500,126471.008,2057956.875,10,10,8
1773844583911,2,1.442707,0.000000,-0.004717,-0.002468,15000.0,1191127.875,126830.820,2057392.875,10,10,6
1773844583937,2,1.442707,0.000000,-0.004321,-0.004026,15000.0,1191228.875,126367.336,2056929.375,10,10,7
1773844583959,2,1.417638,0.000000,-0.006764,-0.005054,15000.0,1190590.000,125876.734,2058718.250,10,10,6
1773844583959,2,1.417638,0.000000,-0.005889,-0.005040,15000.0,1183942.375,125558.984,2048140.125,10,10,8
1773844583980,2,1.417638,0.000000,-0.005772,-0.005493,15000.0,1177026.625,124927.375,2044456.375,10,10,6
1773844583997,2,1.417638,0.000000,-0.006435,-0.005836,15000.0,1169667.500,124492.172,2041650.500,10,10,7
